,Customer_ID,Units bought,Money Spent,Year,Month,Day,Date bought
58,21,3,63.34,1997,1,1,1/1/1997
59,21,1,11.77,1997,1,13,1/13/1997
60,22,1,14.37,1997,1,1,1/1/1997
61,23,2,24.74,1997,1,1,1/1/1997
62,24,3,47.28,1997,1,1,1/1/1997
63,24,1,10.49,1998,1,20,1/20/1998
64,25,2,24.96,1997,1,1,1/1/1997
65,25,1,13.9,1997,7,18,7/18/1997
66,25,1,12.25,1997,8,17,8/17/1997
67,25,1,12.99,1997,10,24,10/24/1997
68,25,1,12.99,1998,4,17,4/17/1998
69,25,1,10.49,1998,5,25,5/25/1998
70,25,3,24.97,1998,6,3,6/3/1998
71,25,2,24.98,1998,6,8,6/8/1998
72,26,3,42.72,1997,1,1,1/1/1997
73,26,3,59.97,1997,1,26,1/26/1997
74,27,6,83.41,1997,1,7,1/7/1997
75,27,4,52.46,1997,1,12,1/12/1997
76,28,3,39.51,1997,1,1,1/1/1997
77,28,2,25.74,1997,1,27,1/27/1997
78,28,2,25.74,1997,3,8,3/8/1997
79,29,3,46.72,1997,1,1,1/1/1997
80,29,3,67.31,1997,2,6,2/6/1997
81,29,3,41.1,1997,3,9,3/9/1997
82,29,3,44.52,1997,4,5,4/5/1997
83,29,1,13.97,1997,4,20,4/20/1997
84,29,2,26.14,1997,5,4,5/4/1997
85,29,1,32.45,1997,5,30,5/30/1997
86,29,2,37.65,1997,7,13,7/13/1997
87,29,2,26.74,1997,7,13,7/13/1997
88,29,1,14.79,1997,9,6,9/6/1997
89,29,3,35.97,1997,11,2,11/2/1997
90,29,4,48.45,1998,4,26,4/26/1998
91,30,1,14.37,1997,1,1,1/1/1997
92,30,1,13.97,1997,2,14,2/14/1997
93,31,4,59.06,1997,1,1,1/1/1997
94,31,4,42.89,1998,4,7,4/7/1998
95,31,3,38.06,1998,4,9,4/9/1998
96,31,3,37.04,1998,5,25,5/25/1998
97,32,3,49.97,1997,1,1,1/1/1997
98,32,1,16.36,1997,1,24,1/24/1997
99,32,1,11.88,1998,3,11,3/11/1998
100,33,3,41.69,1997,1,1,1/1/1997
101,33,2,29.92,1997,1,21,1/21/1997
102,33,5,73.42,1997,2,16,2/16/1997
103,33,2,40.74,1997,5,2,5/2/1997
104,33,3,54.25,1997,5,14,5/14/1997
105,33,1,14.96,1997,6,1,6/1/1997
106,33,2,30.13,1997,6,4,6/4/1997
107,33,2,35.69,1997,8,29,8/29/1997
108,33,1,11.77,1997,9,6,9/6/1997
109,33,3,45.47,1997,10,2,10/2/1997
110,33,2,34.98,1997,10,3,10/3/1997
111,33,3,54.97,1997,10,5,10/5/1997
112,33,5,69.45,1997,10,13,10/13/1997
113,33,3,48.97,1997,10,19,10/19/1997
114,33,4,54.46,1997,10,31,10/31/1997
115,33,5,66.45,1997,11,6,11/6/1997
116,33,3,67.47,1997,11,9,11/9/1997
117,33,1,13.99,1997,11,10,11/10/1997
118,33,1,14.49,1997,11,18,11/18/1997
119,33,4,55.96,1997,11,23,11/23/1997
120,33,3,36.97,1997,11,25,11/25/1997
121,33,3,36.97,1998,1,13,1/13/1998
122,33,3,34.47,1998,2,27,2/27/1998
123,33,4,35.35,1998,3,5,3/5/1998
124,33,2,42.48,1998,3,13,3/13/1998
125,34,2,23.14,1997,1,1,1/1/1997
126,35,2,26.73,1997,1,1,1/1/1997
127,35,1,15.49,1997,9,27,9/27/1997
128,36,3,37.91,1997,1,1,1/1/1997
129,36,1,11.77,1997,2,3,2/3/1997
130,37,2,31.26,1997,1,29,1/29/1997
131,37,2,29.13,1997,3,6,3/6/1997
132,37,1,13.97,1997,6,28,6/28/1997
133,37,1,14.37,1997,8,16,8/16/1997
134,37,3,39.47,1997,11,2,11/2/1997
135,37,2,27.48,1998,5,13,5/13/1998
136,38,1,12.49,1997,1,1,1/1/1997
137,39,3,33.33,1997,1,1,1/1/1997
138,39,4,50.68,1997,3,13,3/13/1997
139,39,2,28.93,1997,5,14,5/14/1997
140,39,4,49.55,1998,3,5,3/5/1998
141,39,2,58.96,1998,3,11,3/11/1998
142,40,2,28.34,1997,1,1,1/1/1997
143,40,1,13.97,1997,3,8,3/8/1997
144,40,1,15.96,1997,5,3,5/3/1997
145,40,1,14.96,1997,8,30,8/30/1997
146,40,3,44.47,1997,9,14,9/14/1997
147,40,1,13.99,1997,9,14,9/14/1997
148,40,1,22.99,1997,9,14,9/14/1997
149,40,2,25.98,1997,10,25,10/25/1997
150,40,1,16.99,1997,12,13,12/13/1997
151,40,4,54.96,1997,12,14,12/14/1997
152,40,1,12.58,1998,2,15,2/15/1998
153,40,1,2.99,1998,2,15,2/15/1998
154,40,3,36.34,1998,2,25,2/25/1998
155,40,1,14.42,1998,3,8,3/8/1998
156,41,1,17.99,1997,1,1,1/1/1997
157,42,3,26.55,1997,1,1,1/1/1997
158,42,1,11.77,1997,1,2,1/2/1997
159,43,2,29.33,1997,1,1,1/1/1997
160,43,2,25.74,1997,2,16,2/16/1997
161,43,1,10.77,1997,3,1,3/1/1997
162,43,1,36.99,1997,11,28,11/28/1997
163,43,1,14.49,1998,5,24,5/24/1998
164,44,2,30.32,1997,1,1,1/1/1997
165,44,1,14.37,1997,1,4,1/4/1997
166,44,1,14.96,1997,6,19,6/19/1997
167,45,1,14.37,1997,1,1,1/1/1997
168,46,3,41.53,1997,1,1,1/1/1997
169,46,4,60.11,1997,1,25,1/25/1997
170,46,3,45.09,1997,3,16,3/16/1997
171,46,4,58.07,1997,8,9,8/9/1997
172,46,4,57.11,1997,8,24,8/24/1997
173,46,2,26.98,1997,10,2,10/2/1997
174,46,2,26.98,1997,11,12,11/12/1997
175,47,3,37.91,1997,1,1,1/1/1997
176,47,2,25.74,1997,1,5,1/5/1997
177,47,3,44.97,1997,1,26,1/26/1997
178,47,1,15.37,1997,2,16,2/16/1997
179,47,2,30.92,1997,2,23,2/23/1997
180,47,1,17.96,1997,3,9,3/9/1997
181,47,1,4.79,1997,3,9,3/9/1997
182,47,2,27.94,1997,3,16,3/16/1997
183,47,1,13.97,1997,4,6,4/6/1997
184,47,1,14.79,1997,4,7,4/7/1997
185,47,1,19.97,1997,4,19,4/19/1997
186,47,1,41.77,1997,4,23,4/23/1997
187,47,1,19.99,1997,6,15,6/15/1997
188,47,1,4.79,1997,6,22,6/22/1997
189,47,1,9.99,1997,8,9,8/9/1997
190,47,1,19.49,1997,11,1,11/1/1997
191,47,1,12.99,1998,2,25,2/25/1998
192,47,1,14.49,1998,3,18,3/18/1998
193,47,2,22.98,1998,3,22,3/22/1998
194,47,1,13.99,1998,4,14,4/14/1998
195,47,1,12.99,1998,6,6,6/6/1998
196,48,4,52.72,1997,1,1,1/1/1997
197,48,4,73.5,1997,1,26,1/26/1997
198,48,3,37.93,1997,2,10,2/10/1997
199,48,1,12.49,1997,3,23,3/23/1997
200,48,4,46.5,1997,3,25,3/25/1997
201,48,2,29.92,1997,6,9,6/9/1997
202,48,3,42.85,1997,7,30,7/30/1997
203,48,1,15.36,1997,8,15,8/15/1997
204,48,1,24.37,1997,8,24,8/24/1997
205,48,1,25.49,1997,10,14,10/14/1997
206,48,2,25.98,1997,10,17,10/17/1997
207,48,1,20.99,1997,10,20,10/20/1997
208,48,2,41.98,1997,11,3,11/3/1997
209,48,3,42.47,1997,11,11,11/11/1997
210,48,2,16.98,1997,11,24,11/24/1997
211,48,1,9.49,1997,12,4,12/4/1997
212,48,3,40.47,1998,1,9,1/9/1998
213,48,3,51.47,1998,3,22,3/22/1998
214,48,1,9.49,1998,6,8,6/8/1998
215,48,2,29.48,1998,6,13,6/13/1998
216,49,2,27.94,1997,1,1,1/1/1997
217,50,1,6.79,1997,1,1,1/1/1997
218,51,5,71.42,1997,1,27,1/27/1997
219,51,8,111.93,1997,7,7,7/7/1997
220,51,7,104.6,1997,9,1,9/1/1997
221,51,5,53.95,1997,11,29,11/29/1997
222,51,1,13.99,1997,11,29,11/29/1997
223,51,1,11.49,1997,12,1,12/1/1997
224,52,3,80.95,1997,1,2,1/2/1997
225,52,2,23.14,1997,1,6,1/6/1997
226,52,2,33.98,1997,1,19,1/19/1997
227,52,2,27.74,1997,1,22,1/22/1997
228,52,3,38.33,1997,1,29,1/29/1997
229,52,4,59.84,1997,5,18,5/18/1997
230,52,7,104.72,1997,6,21,6/21/1997
231,52,2,76.98,1998,5,8,5/8/1998
232,53,1,19.99,1997,1,1,1/1/1997
233,53,1,14.37,1997,8,19,8/19/1997
234,53,1,11.49,1997,12,10,12/10/1997
235,53,1,11.88,1998,1,27,1/27/1998
236,53,1,14.49,1998,2,9,2/9/1998
237,53,1,13.99,1998,5,4,5/4/1998
238,54,2,33.96,1997,1,1,1/1/1997
239,55,5,66.09,1997,1,1,1/1/1997
240,55,1,15.36,1997,1,10,1/10/1997
241,56,2,27.73,1997,1,1,1/1/1997
242,56,1,15.96,1997,1,17,1/17/1997
243,56,2,21.54,1997,6,1,6/1/1997
244,56,4,63.96,1997,12,17,12/17/1997
245,57,4,57.86,1997,1,1,1/1/1997
246,58,1,20.99,1997,1,1,1/1/1997
247,59,1,13.99,1997,1,1,1/1/1997
248,59,1,11.77,1997,1,9,1/9/1997
249,59,1,10.77,1997,1,25,1/25/1997
250,60,2,21.75,1997,2,1,2/1/1997
251,61,11,155.65,1997,1,1,1/1/1997
252,62,3,32.91,1997,1,1,1/1/1997
253,62,1,17.96,1997,1,17,1/17/1997
254,62,1,13.97,1997,2,13,2/13/1997
255,62,2,24.54,1997,3,8,3/8/1997
256,62,2,28.14,1997,3,14,3/14/1997
257,62,2,14.55,1997,5,14,5/14/1997
258,62,1,5.78,1997,5,21,5/21/1997
259,62,1,15.36,1997,8,27,8/27/1997
260,62,2,25.98,1997,10,1,10/1/1997
261,62,1,15.99,1997,10,16,10/16/1997
262,62,3,41.97,1997,10,29,10/29/1997
263,63,3,44.97,1997,1,1,1/1/1997
264,63,2,26.98,1997,11,22,11/22/1997
265,63,2,24.48,1998,4,18,4/18/1998
266,63,2,24.48,1998,5,21,5/21/1998
267,64,1,11.77,1997,1,3,1/3/1997
268,64,2,13.98,1997,2,12,2/12/1997
269,64,1,11.77,1997,5,12,5/12/1997
270,64,1,14.96,1997,5,13,5/13/1997
271,64,1,15.36,1997,7,22,7/22/1997
272,64,3,41.47,1997,9,20,9/20/1997
273,64,3,53.47,1997,11,4,11/4/1997
274,64,8,59.92,1997,11,28,11/28/1997
275,64,3,41.97,1997,12,30,12/30/1997
276,64,1,7.68,1998,3,3,3/3/1998
277,64,2,35.48,1998,4,11,4/11/1998
278,64,2,21.98,1998,4,23,4/23/1998
279,64,3,37.56,1998,6,25,6/25/1998
280,65,1,18.77,1997,1,1,1/1/1997
281,65,2,35.98,1998,2,16,2/16/1998
282,65,1,13.99,1998,3,22,3/22/1998
283,66,1,39.99,1997,1,1,1/1/1997
284,67,2,29.73,1997,1,1,1/1/1997
285,67,1,29.99,1997,1,8,1/8/1997
286,67,1,11.77,1997,1,17,1/17/1997
287,68,2,40.36,1997,1,1,1/1/1997
288,69,6,105.31,1997,1,1,1/1/1997
289,69,8,111.77,1997,1,4,1/4/1997
290,70,5,72.23,1997,1,1,1/1/1997
291,71,1,13.97,1997,1,1,1/1/1997
292,72,1,11.99,1997,1,1,1/1/1997
293,73,1,13.97,1997,1,1,1/1/1997
294,73,2,24.14,1997,2,28,2/28/1997
295,73,4,56.46,1997,3,16,3/16/1997
296,74,1,41.99,1997,1,1,1/1/1997
297,75,5,69.81,1997,1,1,1/1/1997
298,76,1,9.99,1997,1,1,1/1/1997
299,77,1,12.97,1997,1,1,1/1/1997
300,78,3,41.52,1997,1,13,1/13/1997
301,78,4,53.74,1998,4,23,4/23/1998
302,79,6,77.44,1997,1,1,1/1/1997
303,80,4,43.46,1997,1,1,1/1/1997
304,81,2,74.76,1997,1,1,1/1/1997
305,81,2,56.36,1997,1,10,1/10/1997
306,81,3,35.31,1997,1,17,1/17/1997
307,81,2,27.76,1997,2,2,2/2/1997
308,81,3,35.31,1997,2,20,2/20/1997
309,81,1,14.99,1997,3,5,3/5/1997
310,81,1,13.77,1997,4,5,4/5/1997
311,81,1,14.96,1997,5,24,5/24/1997
312,81,5,82.79,1997,6,5,6/5/1997
313,81,1,7.78,1997,6,9,6/9/1997
314,81,1,14.96,1997,6,19,6/19/1997
315,81,1,11.97,1997,7,22,7/22/1997
316,81,2,26.98,1997,9,15,9/15/1997
317,81,1,12.99,1997,9,27,9/27/1997
318,82,3,38.5,1997,1,1,1/1/1997
319,82,3,48.5,1997,4,19,4/19/1997
320,82,2,30.98,1997,9,27,9/27/1997
321,82,3,43.97,1997,11,23,11/23/1997
322,82,3,40.56,1998,2,27,2/27/1998
323,82,3,40.29,1998,4,10,4/10/1998
324,83,1,13,1997,1,1,1/1/1997
325,83,3,47.69,1997,1,26,1/26/1997
326,83,3,19.5,1997,7,23,7/23/1997
327,83,1,21.49,1998,4,18,4/18/1998
328,84,1,13.97,1997,1,1,1/1/1997
329,85,3,26.31,1997,1,3,1/3/1997
330,86,2,23.94,1997,1,1,1/1/1997
331,87,7,103.37,1997,1,1,1/1/1997
332,87,2,29.92,1997,5,31,5/31/1997
333,87,3,45.28,1997,7,31,7/31/1997
334,87,2,27.98,1997,10,8,10/8/1997
335,88,1,14.99,1997,2,24,2/24/1997
336,88,2,19.98,1997,10,22,10/22/1997
337,89,3,47.08,1997,1,1,1/1/1997
338,89,2,30.72,1997,1,11,1/11/1997
339,89,2,30.72,1997,1,29,1/29/1997
340,89,2,27.13,1997,3,27,3/27/1997
341,89,1,20.97,1997,4,11,4/11/1997
342,89,1,15.36,1997,5,27,5/27/1997
343,89,4,60.67,1997,7,30,7/30/1997
344,89,2,46.42,1997,8,23,8/23/1997
345,89,2,27.48,1997,10,17,10/17/1997
346,89,2,18.98,1997,10,30,10/30/1997
347,89,3,39.97,1997,12,5,12/5/1997
348,89,2,29.48,1997,12,22,12/22/1997
349,89,3,31.97,1997,12,26,12/26/1997
350,89,1,19.49,1997,12,29,12/29/1997
351,89,2,34.98,1998,1,23,1/23/1998
352,89,2,26.98,1998,2,11,2/11/1998
353,89,1,22.49,1998,2,27,2/27/1998
354,89,1,40.99,1998,6,10,6/10/1998
355,90,1,12.9,1997,1,1,1/1/1997
356,90,1,11.77,1997,1,8,1/8/1997
357,91,2,32.54,1997,1,1,1/1/1997
358,92,2,35.98,1997,1,1,1/1/1997
359,92,1,17.36,1997,4,16,4/16/1997
360,93,9,122.09,1997,1,1,1/1/1997
361,93,5,97.24,1997,1,3,1/3/1997
362,94,4,44.1,1997,1,2,1/2/1997
363,95,3,53.53,1997,1,3,1/3/1997
364,95,3,47.11,1997,1,14,1/14/1997
365,95,5,91.26,1997,1,24,1/24/1997
366,95,2,37.98,1997,2,3,2/3/1997
367,95,1,27.77,1997,2,8,2/8/1997
368,95,2,25.13,1997,2,10,2/10/1997
369,95,1,19.77,1997,2,17,2/17/1997
370,95,4,67.46,1997,3,4,3/4/1997
371,95,2,42.73,1997,3,25,3/25/1997
372,95,1,14.37,1997,4,14,4/14/1997
373,95,2,29.33,1997,4,27,4/27/1997
374,95,2,26.56,1997,5,11,5/11/1997
375,95,2,30.32,1997,5,11,5/11/1997
376,95,2,29.33,1997,5,26,5/26/1997
377,95,1,11.77,1997,6,10,6/10/1997
378,95,1,28.18,1997,6,30,6/30/1997
379,95,4,66.46,1997,8,25,8/25/1997
380,95,4,45.96,1997,9,21,9/21/1997
381,95,6,90.94,1997,12,9,12/9/1997
382,95,2,82.98,1997,12,19,12/19/1997
383,95,3,42.47,1998,1,10,1/10/1998
384,95,2,24.98,1998,2,2,2/2/1998
385,95,8,109.24,1998,2,8,2/8/1998
386,95,5,105.45,1998,2,24,2/24/1998
387,95,6,82.42,1998,3,16,3/16/1998
388,95,7,106.93,1998,4,28,4/28/1998
389,95,3,59.97,1998,5,7,5/7/1998
390,95,4,65.44,1998,6,10,6/10/1998
391,95,4,49.43,1998,6,24,6/24/1998
392,96,4,57.67,1997,1,1,1/1/1997
393,96,4,61.91,1997,2,9,2/9/1997
394,96,3,29.5,1997,2,14,2/14/1997
395,96,1,96.99,1997,2,22,2/22/1997
396,96,6,75.22,1997,3,15,3/15/1997
397,96,3,49.94,1997,4,8,4/8/1997
398,96,4,60.48,1997,4,17,4/17/1997
399,96,1,12.97,1997,6,24,6/24/1997
400,96,2,23.74,1997,7,9,7/9/1997
401,96,7,102.21,1997,8,3,8/3/1997
402,96,4,114.46,1997,10,30,10/30/1997
403,96,5,234.45,1997,11,18,11/18/1997
404,96,1,248.49,1997,12,7,12/7/1997
405,96,4,68.46,1998,1,2,1/2/1998
406,96,4,45.46,1998,1,17,1/17/1998
407,96,2,28.37,1998,2,24,2/24/1998
408,96,3,30.86,1998,3,9,3/9/1998
409,96,4,54.85,1998,5,7,5/7/1998
410,96,4,49.96,1998,6,27,6/27/1998
411,97,6,91.57,1997,1,1,1/1/1997
412,97,6,80.94,1997,10,22,10/22/1997
413,97,4,128.87,1998,2,8,2/8/1998
414,97,2,23.37,1998,3,28,3/28/1998
415,98,2,46.14,1997,1,1,1/1/1997
416,98,2,30.32,1997,5,23,5/23/1997
417,99,2,25.94,1997,1,1,1/1/1997
418,99,2,28.34,1997,1,19,1/19/1997
419,99,2,28.93,1997,4,24,4/24/1997
420,99,4,52.1,1997,7,26,7/26/1997
421,99,2,24.98,1997,10,11,10/11/1997
422,99,3,40.97,1997,11,13,11/13/1997
423,99,1,65.99,1997,12,16,12/16/1997
424,100,1,13.77,1997,1,1,1/1/1997
425,100,1,12.49,1997,12,11,12/11/1997
426,100,2,28.98,1998,4,20,4/20/1998
427,101,2,23.54,1997,1,18,1/18/1997
428,102,1,14.37,1997,1,1,1/1/1997
429,102,1,25.99,1997,2,10,2/10/1997
430,102,1,11.49,1997,11,28,11/28/1997
431,102,4,105.62,1998,3,1,3/1/1998
432,103,4,51.08,1997,2,17,2/17/1997
433,103,2,29.75,1997,4,6,4/6/1997
434,103,3,29.66,1998,4,17,4/17/1998
435,104,1,14.96,1997,1,1,1/1/1997
436,105,3,35.31,1997,1,1,1/1/1997
437,106,2,31.52,1997,1,1,1/1/1997
438,106,2,29.92,1997,1,19,1/19/1997
439,106,2,30.72,1997,6,26,6/26/1997
440,106,2,27.98,1997,11,4,11/4/1997
441,106,1,36.99,1997,12,30,12/30/1997
442,106,3,44.97,1998,1,31,1/31/1998
443,107,1,21.99,1997,1,1,1/1/1997
444,108,1,17.96,1997,1,1,1/1/1997
445,109,5,71.89,1997,1,12,1/12/1997
446,109,7,132.57,1997,2,2,2/2/1997
447,110,2,27.94,1997,1,1,1/1/1997
448,111,1,35.99,1997,1,1,1/1/1997
449,111,1,32.99,1997,1,11,1/11/1997
450,111,4,77.96,1997,3,15,3/15/1997
451,111,3,59.3,1997,4,16,4/16/1997
452,111,2,134.98,1997,4,24,4/24/1997
453,111,1,91.92,1997,6,23,6/23/1997
454,111,3,47.08,1997,7,22,7/22/1997
455,111,2,71.96,1997,7,26,7/26/1997
456,111,3,78.47,1997,10,25,10/25/1997
457,111,3,83.47,1997,12,6,12/6/1997
458,111,4,84.46,1998,1,18,1/18/1998
459,111,4,123.96,1998,2,15,2/15/1998
460,111,2,32.98,1998,2,21,2/21/1998
461,111,2,23.06,1998,2,26,2/26/1998
462,111,1,72.99,1998,5,10,5/10/1998
463,111,3,55.47,1998,6,20,6/20/1998
464,112,1,11.77,1997,1,1,1/1/1997
465,112,1,11.77,1997,2,5,2/5/1997
466,113,3,32.91,1997,1,1,1/1/1997
467,113,1,15.27,1998,3,4,3/4/1998
468,113,1,11.49,1998,3,7,3/7/1998
469,114,1,16.36,1997,1,1,1/1/1997
470,114,2,28.13,1997,5,1,5/1/1997
471,114,1,22.97,1997,9,8,9/8/1997
472,114,1,28.49,1998,2,10,2/10/1998
473,114,2,28.98,1998,2,11,2/11/1998
474,115,1,13.97,1997,1,1,1/1/1997
475,116,1,12.77,1997,1,1,1/1/1997
476,117,2,18.74,1997,1,1,1/1/1997
477,117,2,24.74,1997,8,31,8/31/1997
478,117,1,15.49,1998,3,19,3/19/1998
479,118,1,15.36,1997,1,1,1/1/1997
480,118,4,58.49,1997,6,24,6/24/1997
481,119,3,41.69,1997,1,1,1/1/1997
482,120,1,22.97,1997,1,1,1/1/1997
483,120,1,14.96,1997,2,22,2/22/1997
484,120,1,11.77,1997,3,30,3/30/1997
485,120,1,42.32,1997,5,17,5/17/1997
486,120,1,11.49,1997,12,18,12/18/1997
487,121,1,12.49,1997,1,1,1/1/1997
488,122,2,27.74,1997,1,1,1/1/1997
489,123,1,31.99,1997,1,1,1/1/1997
490,124,2,28.93,1997,1,1,1/1/1997
491,124,2,28.48,1997,9,13,9/13/1997
492,124,2,26.98,1997,10,16,10/16/1997
493,124,2,25.98,1997,11,2,11/2/1997
494,124,2,27.98,1997,12,12,12/12/1997
495,125,3,37.47,1997,1,1,1/1/1997
496,125,1,13.72,1997,6,22,6/22/1997
497,125,1,12.99,1997,10,17,10/17/1997
498,125,1,6.49,1997,11,21,11/21/1997
499,125,1,11.49,1998,2,9,2/9/1998
500,125,2,26.48,1998,6,8,6/8/1998
501,126,1,9.77,1997,1,3,1/3/1997
502,126,2,292.98,1997,12,2,12/2/1997
503,127,3,39.71,1997,1,1,1/1/1997
504,128,3,20.37,1997,1,1,1/1/1997
505,128,1,12.49,1997,1,9,1/9/1997
506,128,2,22.75,1997,2,7,2/7/1997
507,128,1,12.25,1997,8,3,8/3/1997
508,129,1,12.49,1997,1,1,1/1/1997
509,130,1,14.37,1997,1,1,1/1/1997
510,130,1,5.99,1997,1,25,1/25/1997
511,130,3,42.89,1997,2,8,2/8/1997
512,130,1,10.77,1997,6,1,6/1/1997
513,130,1,5.99,1997,7,1,7/1/1997
514,130,1,14.96,1997,8,13,8/13/1997
515,130,1,12.99,1997,11,8,11/8/1997
516,130,1,12.99,1998,4,29,4/29/1998
517,131,2,30.32,1997,1,1,1/1/1997
518,132,3,53.69,1997,1,1,1/1/1997
519,132,5,54.65,1997,2,27,2/27/1997
520,132,2,27.13,1997,4,1,4/1/1997
521,132,4,57.45,1997,6,16,6/16/1997
522,132,5,67.95,1997,10,6,10/6/1997
523,132,3,41.56,1998,5,11,5/11/1998
524,133,1,18.99,1997,1,1,1/1/1997
525,133,1,14.37,1997,1,27,1/27/1997
526,133,1,9.77,1997,2,1,2/1/1997
527,133,1,15.99,1997,3,2,3/2/1997
528,133,3,47.33,1997,5,4,5/4/1997
529,133,3,59.74,1997,6,21,6/21/1997
530,133,2,32.98,1997,11,11,11/11/1997
531,134,1,17.9,1997,1,1,1/1/1997
532,134,1,9.99,1997,5,5,5/5/1997
533,134,1,21.49,1998,1,8,1/8/1998
534,135,3,41.7,1997,1,1,1/1/1997
535,135,3,42.69,1997,1,1,1/1/1997
536,136,2,44.98,1997,1,1,1/1/1997
537,136,2,36.98,1997,11,26,11/26/1997
538,137,2,27.73,1997,1,1,1/1/1997
539,138,1,14.99,1997,1,1,1/1/1997
540,139,1,11.77,1997,1,6,1/6/1997
541,140,1,28.7,1997,1,1,1/1/1997
542,140,1,15.36,1997,5,3,5/3/1997
543,141,1,19.97,1997,1,1,1/1/1997
544,141,2,19.54,1997,3,16,3/16/1997
545,141,1,22.77,1997,4,16,4/16/1997
546,141,2,44.34,1997,8,27,8/27/1997
547,141,1,5.49,1997,10,24,10/24/1997
548,141,1,11.88,1998,2,22,2/22/1998
549,141,2,23.76,1998,5,7,5/7/1998
550,142,1,15.36,1997,1,2,1/2/1997
551,142,3,49.97,1997,1,13,1/13/1997
552,142,1,19.99,1997,3,30,3/30/1997
553,142,1,12.58,1998,2,19,2/19/1998
554,142,1,24.49,1998,4,11,4/11/1998
555,143,1,12.49,1997,1,1,1/1/1997
556,143,1,28.99,1997,1,1,1/1/1997
557,144,2,30.72,1997,1,1,1/1/1997
558,145,1,14.79,1997,1,1,1/1/1997
559,145,1,11.77,1997,1,2,1/2/1997
560,145,2,26.73,1997,1,12,1/12/1997
561,145,2,20.75,1997,1,30,1/30/1997
562,145,1,15.96,1997,2,25,2/25/1997
563,145,2,29.93,1997,3,12,3/12/1997
564,145,4,56.47,1997,3,12,3/12/1997
565,145,3,28.54,1997,3,14,3/14/1997
566,145,1,13.97,1997,4,5,4/5/1997
567,145,2,30.32,1997,5,2,5/2/1997
568,145,1,15.96,1997,5,3,5/3/1997
569,145,1,13.97,1997,5,26,5/26/1997
570,145,1,13.97,1997,7,7,7/7/1997
571,145,2,27.13,1997,8,15,8/15/1997
572,145,2,25.98,1997,9,13,9/13/1997
573,145,1,12.99,1997,10,31,10/31/1997
574,145,1,12.99,1997,11,6,11/6/1997
575,145,3,55.97,1997,11,19,11/19/1997
576,145,1,12.58,1998,2,23,2/23/1998
577,145,2,24.46,1998,2,26,2/26/1998
578,145,1,11.88,1998,3,14,3/14/1998
579,145,1,17.48,1998,5,6,5/6/1998
